seed,metric_value,scenario,metric,ablation
53,0.0,balanced,p_timeout,novg
53,1.0,balanced,commit_latency,novg
53,2.0,balanced,junction_pause,novg
53,0.0,balanced,reorientation,novg
54,0.0,balanced,p_open,novg
54,0.0,balanced,p_timeout,novg
54,1.0,balanced,commit_latency,novg
54,2.0,balanced,junction_pause,novg
54,0.0,balanced,reorientation,novg
55,0.01,balanced,p_open,novg
55,0.0,balanced,p_timeout,novg
55,1.0,balanced,commit_latency,novg
55,2.0,balanced,junction_pause,novg
55,0.0,balanced,reorientation,novg
56,0.01,balanced,p_open,novg
56,0.0,balanced,p_timeout,novg
56,1.0,balanced,commit_latency,novg
56,2.0,balanced,junction_pause,novg
56,0.0,balanced,reorientation,novg
57,0.0,balanced,p_open,novg
57,0.0,balanced,p_timeout,novg
57,1.0,balanced,commit_latency,novg
57,2.0,balanced,junction_pause,novg
57,0.0,balanced,reorientation,novg
58,0.01,balanced,p_open,novg
58,0.0,balanced,p_timeout,novg
58,1.0,balanced,commit_latency,novg
58,2.0,balanced,junction_pause,novg
58,0.0,balanced,reorientation,novg
59,0.01,balanced,p_open,novg
59,0.0,balanced,p_timeout,novg
59,1.0,balanced,commit_latency,novg
59,2.0,balanced,junction_pause,novg
59,0.0,balanced,reorientation,novg
60,0.0,balanced,p_open,novg
60,0.0,balanced,p_timeout,novg
60,1.0,balanced,commit_latency,novg
60,2.0,balanced,junction_pause,novg
60,0.0,balanced,reorientation,novg
61,0.02,balanced,p_open,novg
61,0.0,balanced,p_timeout,novg
61,1.0,balanced,commit_latency,novg
61,2.0,balanced,junction_pause,novg
61,0.0,balanced,reorientation,novg
62,0.0,balanced,p_open,novg
62,0.0,balanced,p_timeout,novg
62,1.0,balanced,commit_latency,novg
62,2.0,balanced,junction_pause,novg
62,0.0,balanced,reorientation,novg
63,0.0,balanced,p_open,novg
63,0.0,balanced,p_timeout,novg
63,1.0,balanced,commit_latency,novg
63,2.0,balanced,junction_pause,novg
63,0.0,balanced,reorientation,novg
64,0.0,balanced,p_open,novg
64,0.0,balanced,p_timeout,novg
64,1.0,balanced,commit_latency,novg
64,2.0,balanced,junction_pause,novg
64,0.0,balanced,reorientation,novg
65,0.01,balanced,p_open,novg
65,0.0,balanced,p_timeout,novg
65,1.0,balanced,commit_latency,novg
65,2.0,balanced,junction_pause,novg
65,0.0,balanced,reorientation,novg
66,0.0,balanced,p_open,novg
66,0.0,balanced,p_timeout,novg
66,1.0,balanced,commit_latency,novg
66,2.0,balanced,junction_pause,novg
66,0.0,balanced,reorientation,novg
67,0.0,balanced,p_open,novg
67,0.0,balanced,p_timeout,novg
67,1.0,balanced,commit_latency,novg
67,2.0,balanced,junction_pause,novg
67,0.0,balanced,reorientation,novg
68,0.0,balanced,p_open,novg
68,0.0,balanced,p_timeout,novg
68,1.0,balanced,commit_latency,novg
68,2.0,balanced,junction_pause,novg
68,0.0,balanced,reorientation,novg
69,0.02,balanced,p_open,novg
69,0.0,balanced,p_timeout,novg
69,1.0,balanced,commit_latency,novg
69,2.0,balanced,junction_pause,novg
69,0.0,balanced,reorientation,novg
70,0.01,balanced,p_open,novg
70,0.0,balanced,p_timeout,novg
70,1.0,balanced,commit_latency,novg
70,2.0,balanced,junction_pause,novg
70,0.0,balanced,reorientation,novg
71,0.02,balanced,p_open,novg
71,0.0,balanced,p_timeout,novg
71,1.0,balanced,commit_latency,novg
71,2.0,balanced,junction_pause,novg
71,0.0,balanced,reorientation,novg
72,0.01,balanced,p_open,novg
72,0.0,balanced,p_timeout,novg
72,1.0,balanced,commit_latency,novg
72,2.0,balanced,junction_pause,novg
72,0.0,balanced,reorientation,novg
73,0.01,balanced,p_open,novg
73,0.0,balanced,p_timeout,novg
73,1.0,balanced,commit_latency,novg
73,2.0,balanced,junction_pause,novg
73,0.0,balanced,reorientation,novg
74,0.0,balanced,p_open,novg
