protocol,ablation,seed,target_path,expected_direction,window,metric,metric_value
shock,full,42,open,negative,post_4_10,q_pos,0.0
shock,full,42,open,negative,post_4_10,X_risk,0.225
shock,full,42,open,negative,post_4_10,X_opp,0.27499999999999997
shock,full,42,open,negative,post_11_30,h_risk,0.3119278847140608
shock,full,42,open,negative,post_11_30,h_opp,0.28308202190421483
shock,full,42,open,negative,post_11_30,q_neg,0.21047614039849377
shock,full,42,open,negative,post_11_30,q_pos,0.0
shock,full,42,open,negative,post_11_30,X_risk,0.2682539682539682
shock,full,42,open,negative,post_11_30,X_opp,0.28412698412698395
shock,full,42,open,negative,post_31_plus,h_risk,0.2817213865070945
shock,full,42,open,negative,post_31_plus,h_opp,0.28616641021035727
shock,full,42,open,negative,post_31_plus,q_neg,0.007840247268199103
shock,full,42,open,negative,post_31_plus,q_pos,0.0
shock,full,42,open,negative,post_31_plus,X_risk,0.27909407665505226
shock,full,42,open,negative,post_31_plus,X_opp,0.28606271777003484
shock,full,42,open,negative,post_all,h_risk,0.2945761302142102
shock,full,42,open,negative,post_all,h_opp,0.2847089964565602
shock,full,42,open,negative,post_all,q_neg,0.15315788698236027
shock,full,42,open,negative,post_all,q_pos,0.0
shock,full,42,open,negative,post_all,X_risk,0.27155361050328225
shock,full,42,open,negative,post_all,X_opp,0.28468271334792117
shock,full,43,open,negative,pre,h_risk,0.2711777207251099
shock,full,43,open,negative,pre,h_opp,0.2740227601094898
shock,full,43,open,negative,pre,q_neg,0.0
shock,full,43,open,negative,pre,q_pos,0.0
shock,full,43,open,negative,pre,X_risk,0.2821917808219177
shock,full,43,open,negative,pre,X_opp,0.2867579908675798
shock,full,43,open,negative,shock,h_risk,0.2668967166155251
shock,full,43,open,negative,shock,h_opp,0.2868568884238026
shock,full,43,open,negative,shock,q_neg,0.0
shock,full,43,open,negative,shock,q_pos,0.0
shock,full,43,open,negative,shock,X_risk,0.31666666666666665
shock,full,43,open,negative,shock,X_opp,0.2833333333333333
shock,full,43,open,negative,post_1_3,h_risk,0.3136389003904235
shock,full,43,open,negative,post_1_3,h_opp,0.2866242277275892
shock,full,43,open,negative,post_1_3,q_neg,1.1633720988571687
shock,full,43,open,negative,post_1_3,q_pos,0.0
shock,full,43,open,negative,post_1_3,X_risk,0.25499999999999995
shock,full,43,open,negative,post_1_3,X_opp,0.285
shock,full,43,open,negative,post_4_10,h_risk,0.32809431927483695
shock,full,43,open,negative,post_4_10,h_opp,0.2781447019734276
shock,full,43,open,negative,post_4_10,q_neg,0.7080226805586134
shock,full,43,open,negative,post_4_10,q_pos,0.0
shock,full,43,open,negative,post_4_10,X_risk,0.22999999999999998
shock,full,43,open,negative,post_4_10,X_opp,0.27666666666666667
shock,full,43,open,negative,post_11_30,h_risk,0.30633781582652
shock,full,43,open,negative,post_11_30,h_opp,0.2848737730034375
shock,full,43,open,negative,post_11_30,q_neg,0.17233336603696178
shock,full,43,open,negative,post_11_30,q_pos,0.0
shock,full,43,open,negative,post_11_30,X_risk,0.26834532374100717
shock,full,43,open,negative,post_11_30,X_opp,0.28561151079136693
shock,full,43,open,negative,post_31_plus,h_risk,0.28728192930995305
shock,full,43,open,negative,post_31_plus,h_opp,0.28715541324379507
shock,full,43,open,negative,post_31_plus,q_neg,0.004950353039700571
shock,full,43,open,negative,post_31_plus,q_pos,0.0
shock,full,43,open,negative,post_31_plus,X_risk,0.2845161290322581
shock,full,43,open,negative,post_31_plus,X_opp,0.28709677419354834
shock,full,43,open,negative,post_all,h_risk,0.29610012439283623
shock,full,43,open,negative,post_all,h_opp,0.285956829993605
shock,full,43,open,negative,post_all,q_neg,0.1402746888083099
shock,full,43,open,negative,post_all,q_pos,0.0
shock,full,43,open,negative,post_all,X_risk,0.27555110220440876
shock,full,43,open,negative,post_all,X_opp,0.2859719438877755
shock,full,44,open,negative,pre,h_risk,0.2691392105351379
shock,full,44,open,negative,pre,h_opp,0.2738363713149894
shock,full,44,open,negative,pre,q_neg,0.0
shock,full,44,open,negative,pre,q_pos,0.0
shock,full,44,open,negative,pre,X_risk,0.28027522935779814
shock,full,44,open,negative,pre,X_opp,0.2866972477064219
shock,full,44,open,negative,shock,h_risk,0.2681128569814783
shock,full,44,open,negative,shock,h_opp,0.28800138417972293
shock,full,44,open,negative,shock,q_neg,0.0
shock,full,44,open,negative,shock,q_pos,0.0
shock,full,44,open,negative,shock,X_risk,0.31666666666666665
shock,full,44,open,negative,shock,X_opp,0.2833333333333333
shock,full,44,open,negative,post_1_3,h_risk,0.31521870535288127
shock,full,44,open,negative,post_1_3,h_opp,0.28515345953710447
shock,full,44,open,negative,post_1_3,q_neg,1.2083849724078302
shock,full,44,open,negative,post_1_3,q_pos,0.0
shock,full,44,open,negative,post_1_3,X_risk,0.26875000000000004
shock,full,44,open,negative,post_1_3,X_opp,0.28125
shock,full,44,open,negative,post_4_10,h_risk,0.3297978293732385
shock,full,44,open,negative,post_4_10,h_opp,0.27711465578022504
shock,full,44,open,negative,post_4_10,q_neg,0.7746341359425828
shock,full,44,open,negative,post_4_10,q_pos,0.0
shock,full,44,open,negative,post_4_10,X_risk,0.2275862068965517
shock,full,44,open,negative,post_4_10,X_opp,0.27586206896551724
shock,full,44,open,negative,post_11_30,h_risk,0.3087231526669632
shock,full,44,open,negative,post_11_30,h_opp,0.2838132208184837
shock,full,44,open,negative,post_11_30,q_neg,0.20001608583263858
shock,full,44,open,negative,post_11_30,q_pos,0.0
shock,full,44,open,negative,post_11_30,X_risk,0.2633587786259542
shock,full,44,open,negative,post_11_30,X_opp,0.2847328244274809
shock,full,44,open,negative,post_31_plus,h_risk,0.29014246853388603
shock,full,44,open,negative,post_31_plus,h_opp,0.286995131505681
shock,full,44,open,negative,post_31_plus,q_neg,0.006478492659644397
shock,full,44,open,negative,post_31_plus,q_pos,0.0
shock,full,44,open,negative,post_31_plus,X_risk,0.2896103896103896
shock,full,44,open,negative,post_31_plus,X_opp,0.28701298701298705
shock,full,44,open,negative,post_all,h_risk,0.29837654885388243
shock,full,44,open,negative,post_all,h_opp,0.2854810181842795
shock,full,44,open,negative,post_all,q_neg,0.14461990182666595
shock,full,44,open,negative,post_all,q_pos,0.0
shock,full,44,open,negative,post_all,X_risk,0.27809917355371894
shock,full,44,open,negative,post_all,X_opp,0.2855371900826445
treat,full,42,covered,positive,pre,p_target,0.4482758620689655
treat,full,42,covered,positive,pre,p_open,0.5517241379310345
treat,full,42,covered,positive,pre,p_covered,0.4482758620689655
treat,full,42,covered,positive,pre,p_timeout,0.20689655172413793
treat,full,42,covered,positive,pre,commit_latency,4.689655172413793
treat,full,42,covered,positive,pre,junction_pause_duration,5.689655172413793
treat,full,42,covered,positive,shock,p_target,1.0
treat,full,42,covered,positive,shock,p_open,0.0
treat,full,42,covered,positive,shock,p_covered,1.0
treat,full,42,covered,positive,shock,p_timeout,0.0
treat,full,42,covered,positive,shock,commit_latency,3.0
treat,full,42,covered,positive,shock,junction_pause_duration,4.0
treat,full,42,covered,positive,post_1_3,p_target,0.6666666666666666
treat,full,42,covered,positive,post_1_3,p_open,0.3333333333333333
treat,full,42,covered,positive,post_1_3,p_covered,0.6666666666666666
treat,full,42,covered,positive,post_1_3,p_timeout,0.0
treat,full,42,covered,positive,post_1_3,commit_latency,2.0
treat,full,42,covered,positive,post_1_3,junction_pause_duration,3.0
treat,full,42,covered,positive,post_4_10,p_target,0.5714285714285714
treat,full,42,covered,positive,post_4_10,p_open,0.42857142857142855
treat,full,42,covered,positive,post_4_10,p_covered,0.5714285714285714
treat,full,42,covered,positive,post_4_10,p_timeout,0.0
treat,full,42,covered,positive,post_4_10,commit_latency,2.2857142857142856
treat,full,42,covered,positive,post_4_10,junction_pause_duration,3.2857142857142856
