protocol,ablation,check,status,value,threshold_or_expectation,note
shock,novp,carrier_delta_q_neg_post_11_30,pass,0.19897933078370525,carrier delta must be > 0; pass requires directional p<=0.05 and CI excluding zero,"carrier=q_neg, ci=[0.1950, 0.2031], directional_p=0.000050, sign_consistency=1.0000"
shock,novp,carrier_delta_q_neg_post_all,pass,0.14732338113430615,carrier delta must be > 0; pass requires directional p<=0.05 and CI excluding zero,"carrier=q_neg, ci=[0.1466, 0.1481], directional_p=0.000050, sign_consistency=1.0000"
shock,nox,carrier_delta_h_risk_post_1_3,fail,0.0,carrier delta must be > 0; pass requires directional p<=0.05 and CI excluding zero,"carrier=h_risk, ci=[0.0000, 0.0000], directional_p=1.000000, sign_consistency=0.0000"
shock,nox,carrier_delta_h_risk_post_4_10,fail,0.0,carrier delta must be > 0; pass requires directional p<=0.05 and CI excluding zero,"carrier=h_risk, ci=[0.0000, 0.0000], directional_p=1.000000, sign_consistency=0.0000"
shock,nox,carrier_delta_h_risk_post_11_30,fail,0.0,carrier delta must be > 0; pass requires directional p<=0.05 and CI excluding zero,"carrier=h_risk, ci=[0.0000, 0.0000], directional_p=1.000000, sign_consistency=0.0000"
shock,nox,carrier_delta_h_risk_post_all,fail,0.0,carrier delta must be > 0; pass requires directional p<=0.05 and CI excluding zero,"carrier=h_risk, ci=[0.0000, 0.0000], directional_p=1.000000, sign_consistency=0.0000"
shock,nox,carrier_delta_q_neg_post_1_3,pass,1.136581544282011,carrier delta must be > 0; pass requires directional p<=0.05 and CI excluding zero,"carrier=q_neg, ci=[1.1298, 1.1437], directional_p=0.000050, sign_consistency=1.0000"
shock,nox,carrier_delta_q_neg_post_4_10,pass,0.5527076062214342,carrier delta must be > 0; pass requires directional p<=0.05 and CI excluding zero,"carrier=q_neg, ci=[0.5449, 0.5604], directional_p=0.000050, sign_consistency=1.0000"
shock,nox,carrier_delta_q_neg_post_11_30,pass,0.09762911856964264,carrier delta must be > 0; pass requires directional p<=0.05 and CI excluding zero,"carrier=q_neg, ci=[0.0954, 0.0999], directional_p=0.000050, sign_consistency=1.0000"
shock,nox,carrier_delta_q_neg_post_all,pass,0.13362596483504294,carrier delta must be > 0; pass requires directional p<=0.05 and CI excluding zero,"carrier=q_neg, ci=[0.1329, 0.1344], directional_p=0.000050, sign_consistency=1.0000"
shock,one_shot_off,carrier_delta_h_risk_post_1_3,pass,0.011128396830672939,carrier delta must be > 0; pass requires directional p<=0.05 and CI excluding zero,"carrier=h_risk, ci=[0.0076, 0.0146], directional_p=0.000050, sign_consistency=0.8000"
shock,one_shot_off,carrier_delta_h_risk_post_4_10,pass,0.013346986948754344,carrier delta must be > 0; pass requires directional p<=0.05 and CI excluding zero,"carrier=h_risk, ci=[0.0111, 0.0157], directional_p=0.000050, sign_consistency=0.9800"
shock,one_shot_off,carrier_delta_h_risk_post_11_30,pass,0.012015000634453205,carrier delta must be > 0; pass requires directional p<=0.05 and CI excluding zero,"carrier=h_risk, ci=[0.0102, 0.0139], directional_p=0.000050, sign_consistency=0.9800"
shock,one_shot_off,carrier_delta_h_risk_post_all,pass,0.012315999874987332,carrier delta must be > 0; pass requires directional p<=0.05 and CI excluding zero,"carrier=h_risk, ci=[0.0108, 0.0138], directional_p=0.000050, sign_consistency=1.0000"
shock,one_shot_off,carrier_delta_q_neg_post_1_3,fail,0.0,carrier delta must be > 0; pass requires directional p<=0.05 and CI excluding zero,"carrier=q_neg, ci=[0.0000, 0.0000], directional_p=1.000000, sign_consistency=0.0000"
shock,one_shot_off,carrier_delta_q_neg_post_4_10,fail,0.0,carrier delta must be > 0; pass requires directional p<=0.05 and CI excluding zero,"carrier=q_neg, ci=[0.0000, 0.0000], directional_p=1.000000, sign_consistency=0.0000"
shock,one_shot_off,carrier_delta_q_neg_post_11_30,fail,0.0,carrier delta must be > 0; pass requires directional p<=0.05 and CI excluding zero,"carrier=q_neg, ci=[0.0000, 0.0000], directional_p=1.000000, sign_consistency=0.0000"
shock,one_shot_off,carrier_delta_q_neg_post_all,fail,0.0,carrier delta must be > 0; pass requires directional p<=0.05 and CI excluding zero,"carrier=q_neg, ci=[0.0000, 0.0000], directional_p=1.000000, sign_consistency=0.0000"
treat,full,carrier_delta_h_opp_post_1_3,pass,0.005440619573262418,carrier delta must be > 0; pass requires directional p<=0.05 and CI excluding zero,"carrier=h_opp, ci=[0.0052, 0.0057], directional_p=0.000050, sign_consistency=1.0000"
treat,full,carrier_delta_h_opp_post_4_10,pass,0.0072881402832733165,carrier delta must be > 0; pass requires directional p<=0.05 and CI excluding zero,"carrier=h_opp, ci=[0.0070, 0.0075], directional_p=0.000050, sign_consistency=1.0000"
