protocol,ablation,seed,target_path,expected_direction,first_post_trial,first_post_tick,target_prob,target_prob_wins,target_choice,target_local_bonus,mode,gate_trigger,h_risk,h_opp,q_neg,q_pos,safe_drive,one_shot_type
shock,novp,59,open,negative,31,2,0.4663011645670992,False,False,0.0,explore,standard_arbitration (high uncertainty),0.3134644284696528,0.27898882770771566,1.3719999999999999,0.0,0.3653857713878611,none
shock,novp,60,open,negative,31,2,0.4663011645670992,False,False,0.0,explore,standard_arbitration (high uncertainty),0.28960615511461035,0.27887791618394947,1.3719999999999999,0.0,0.35584246204584413,none
shock,novp,61,open,negative,31,2,0.4663011645670992,False,False,0.0,explore,standard_arbitration (high uncertainty),0.31347856427051185,0.27782902060389414,1.3719999999999999,0.0,0.3653914257082047,none
shock,novp,62,open,negative,31,2,0.4663011645670992,False,False,0.0,explore,standard_arbitration (high uncertainty),0.3047069050166903,0.2790751456472727,1.3719999999999999,0.0,0.36188276200667613,none
shock,novp,63,open,negative,31,2,0.4663011645670992,False,True,0.0,explore,standard_arbitration (high uncertainty),0.3083889698602347,0.2779674611153662,1.3719999999999999,0.0,0.36335558794409384,none
shock,novp,64,open,negative,31,2,0.4663011645670992,False,False,0.0,explore,standard_arbitration (high uncertainty),0.305232802989037,0.2796482554328379,1.3719999999999999,0.0,0.36209312119561476,none
shock,novp,65,open,negative,31,2,0.4663011645670992,False,True,0.0,explore,standard_arbitration (high uncertainty),0.2829131419881759,0.2781759162369146,1.3719999999999999,0.0,0.35316525679527033,none
shock,novp,66,open,negative,31,2,0.4663011645670992,False,True,0.0,explore,standard_arbitration (high uncertainty),0.3059207026758661,0.2795640434108917,1.3719999999999999,0.0,0.3623682810703464,none
shock,novp,67,open,negative,31,2,0.4663011645670992,False,False,0.0,explore,standard_arbitration (high uncertainty),0.2970526328269625,0.2789563976842703,1.3719999999999999,0.0,0.358821053130785,none
shock,novp,68,open,negative,31,2,0.4663011645670992,False,False,0.0,explore,standard_arbitration (high uncertainty),0.31183395093184324,0.2791019351552901,1.3719999999999999,0.0,0.3647335803727373,none
