protocol,ablation,target_path,expected_direction,window,metric,n_seeds,mean,ci_low,ci_high
shock,one_shot_off,open,negative,post_31_plus,p_covered,50,0.556,0.5359999999999999,0.5765
shock,one_shot_off,open,negative,post_all,p_covered,50,0.5571428571428572,0.5422857142857144,0.572
shock,one_shot_off,open,negative,pre,p_open,50,0.4406896551724138,0.416551724137931,0.46275862068965523
shock,one_shot_off,open,negative,shock,p_open,50,0.44,0.3,0.58
shock,one_shot_off,open,negative,post_1_3,p_open,50,0.42,0.33333333333333326,0.5066666666666666
shock,one_shot_off,open,negative,post_4_10,p_open,50,0.45428571428571424,0.41428571428571426,0.4942857142857142
shock,one_shot_off,open,negative,post_11_30,p_open,50,0.44,0.415,0.467
shock,one_shot_off,open,negative,post_31_plus,p_open,50,0.444,0.4235,0.4645
shock,one_shot_off,open,negative,post_all,p_open,50,0.44285714285714284,0.4282857142857142,0.45771428571428574
shock,one_shot_off,open,negative,pre,p_target,50,0.4406896551724138,0.41724137931034483,0.463448275862069
shock,one_shot_off,open,negative,shock,p_target,50,0.44,0.3,0.58
shock,one_shot_off,open,negative,post_1_3,p_target,50,0.42,0.33333333333333326,0.5066666666666666
shock,one_shot_off,open,negative,post_4_10,p_target,50,0.45428571428571424,0.41142857142857137,0.4971428571428571
shock,one_shot_off,open,negative,post_11_30,p_target,50,0.44,0.41300000000000003,0.466
shock,one_shot_off,open,negative,post_31_plus,p_target,50,0.444,0.4235,0.4645
shock,one_shot_off,open,negative,post_all,p_target,50,0.44285714285714284,0.4282857142857142,0.4579999999999999
shock,one_shot_off,open,negative,pre,p_timeout,50,0.1793103448275862,0.16275862068965516,0.19586206896551725
shock,one_shot_off,open,negative,shock,p_timeout,50,0.2,0.1,0.32
shock,one_shot_off,open,negative,post_1_3,p_timeout,50,0.14,0.07999999999999999,0.20666666666666667
shock,one_shot_off,open,negative,post_4_10,p_timeout,50,0.15999999999999998,0.12285714285714285,0.2
shock,one_shot_off,open,negative,post_11_30,p_timeout,50,0.18899999999999997,0.17,0.20800000000000002
shock,one_shot_off,open,negative,post_31_plus,p_timeout,50,0.1825,0.1685,0.1975
shock,one_shot_off,open,negative,post_all,p_timeout,50,0.18028571428571424,0.17057142857142854,0.19028571428571428
shock,one_shot_off,open,negative,pre,q_neg,50,0.0,0.0,0.0
shock,one_shot_off,open,negative,shock,q_neg,50,0.0,0.0,0.0
shock,one_shot_off,open,negative,post_1_3,q_neg,50,0.0,0.0,0.0
shock,one_shot_off,open,negative,post_4_10,q_neg,50,0.0,0.0,0.0
shock,one_shot_off,open,negative,post_11_30,q_neg,50,0.0,0.0,0.0
shock,one_shot_off,open,negative,post_31_plus,q_neg,50,0.0,0.0,0.0
shock,one_shot_off,open,negative,post_all,q_neg,50,0.0,0.0,0.0
shock,one_shot_off,open,negative,pre,q_pos,50,0.0,0.0,0.0
shock,one_shot_off,open,negative,shock,q_pos,50,0.0,0.0,0.0
shock,one_shot_off,open,negative,post_1_3,q_pos,50,0.0,0.0,0.0
shock,one_shot_off,open,negative,post_4_10,q_pos,50,0.0,0.0,0.0
shock,one_shot_off,open,negative,post_11_30,q_pos,50,0.0,0.0,0.0
shock,one_shot_off,open,negative,post_31_plus,q_pos,50,0.0,0.0,0.0
shock,one_shot_off,open,negative,post_all,q_pos,50,0.0,0.0,0.0
treat,full,covered,positive,pre,X_opp,50,0.28660869474882744,0.2865150594127653,0.2867041042976184
treat,full,covered,positive,shock,X_opp,50,0.28333333333333327,0.28333333333333327,0.28333333333333327
treat,full,covered,positive,post_1_3,X_opp,50,0.28008571428571427,0.27981071428571425,0.28035
treat,full,covered,positive,post_4_10,X_opp,50,0.2815579324263536,0.2813745376955904,0.2817229575172339
treat,full,covered,positive,post_11_30,X_opp,50,0.28180815831036776,0.2817112073431527,0.28190363645024635
treat,full,covered,positive,post_31_plus,X_opp,50,0.2817068348311056,0.2816419788204857,0.281773652227996
treat,full,covered,positive,post_all,X_opp,50,0.28166251496710065,0.2816053328678959,0.28171943060426763
treat,full,covered,positive,pre,X_risk,50,0.28343414553493407,0.2821640435866098,0.28467904725313115
treat,full,covered,positive,shock,X_risk,50,0.25,0.25,0.25
treat,full,covered,positive,post_1_3,X_risk,50,0.26545714285714284,0.2600821130952381,0.2709988690476191
treat,full,covered,positive,post_4_10,X_risk,50,0.2652288276130382,0.2617622351182878,0.2688117036918353
treat,full,covered,positive,post_11_30,X_risk,50,0.2679247577981431,0.26578428362885,0.2701174532624843
treat,full,covered,positive,post_31_plus,X_risk,50,0.26631768534879996,0.26501503442798585,0.267657822254756
treat,full,covered,positive,post_all,X_risk,50,0.26667692482982186,0.26574393126703405,0.2676123739892512
treat,full,covered,positive,pre,commit_latency,50,4.472413793103448,4.419999999999999,4.524137931034483
treat,full,covered,positive,shock,commit_latency,50,3.0,3.0,3.0
treat,full,covered,positive,post_1_3,commit_latency,50,2.033333333333333,1.9666666666666668,2.1
treat,full,covered,positive,post_4_10,commit_latency,50,2.4285714285714284,2.3771428571428572,2.4771428571428573
