protocol,ablation,target_path,expected_direction,trial,rel_trial,n_trials,p_open,p_covered,p_target,p_timeout,mean_commit_latency,mean_junction_pause_duration,mean_h_risk,mean_h_opp,mean_q_neg,mean_q_pos,mean_X_risk,mean_X_opp
shock,full,open,negative,54,24,50,0.38,0.62,0.38,0.16,4.0,5.0,0.31001855922232824,0.28502095828664226,0.10630080850969857,0.0,0.27475396825396825,0.2847698412698413
shock,full,open,negative,55,25,50,0.28,0.72,0.28,0.14,3.94,4.94,0.307085919591595,0.2853136827479325,0.09242576115998812,0.0,0.2695873015873016,0.28469841269841273
shock,full,open,negative,56,26,50,0.36,0.64,0.36,0.24,4.22,5.22,0.3023576196052754,0.28546926304294146,0.08019090363256892,0.0,0.2774285714285714,0.28555555555555556
shock,full,open,negative,57,27,50,0.4,0.6,0.4,0.18,4.42,5.42,0.3005707841151539,0.28586099814783295,0.06920029174722965,0.0,0.28024603174603174,0.2860714285714286
shock,full,open,negative,58,28,50,0.46,0.54,0.46,0.18,4.3,5.3,0.2997473328634442,0.2861560579374038,0.05966795800152281,0.0,0.28193650793650793,0.28574603174603175
shock,full,open,negative,59,29,50,0.48,0.52,0.48,0.2,4.58,5.58,0.299925278555122,0.2862702665620227,0.05137498852563989,0.0,0.2843650793650794,0.2864285714285714
shock,full,open,negative,60,30,50,0.5,0.5,0.5,0.18,4.5,5.5,0.2996817715162694,0.28650037030950914,0.04417556089109042,0.0,0.2862777777777778,0.2862619047619048
shock,full,open,negative,61,31,50,0.4,0.6,0.4,0.14,4.32,5.32,0.2983174309080947,0.2864992921365022,0.038064215535399265,0.0,0.279531746031746,0.28589682539682537
shock,full,open,negative,62,32,50,0.36,0.64,0.36,0.08,4.38,5.38,0.29406028079607166,0.2863824055784449,0.03279746502051281,0.0,0.27823809523809523,0.2860793650793651
shock,full,open,negative,63,33,50,0.38,0.62,0.38,0.16,4.52,5.52,0.29059065873520695,0.286439429972364,0.028212875887169656,0.0,0.27974603174603174,0.28634920634920635
shock,full,open,negative,64,34,50,0.28,0.72,0.28,0.3,4.68,5.68,0.2885385717050334,0.28661993969328425,0.024201857944770085,0.0,0.27504761904761904,0.28660317460317464
shock,full,open,negative,65,35,50,0.46,0.54,0.46,0.16,4.3,5.3,0.28539640168595937,0.28665314233331324,0.020782402395487242,0.0,0.2832857142857143,0.2859206349206349
shock,full,open,negative,66,36,50,0.48,0.52,0.48,0.24,4.54,5.54,0.2876827889094308,0.28650468697027337,0.01787975196501679,0.0,0.28395238095238096,0.28639682539682537
