protocol,ablation,target_path,carrier_metric,post_window,n_seeds,pre_mean,post_mean,delta_post_minus_pre_mean,delta_ci_low,delta_ci_high,directional_sign_consistency,directional_sign_flip_p
shock,one_shot_off,open,q_neg,post_11_30,50,0.0,0.0,0.0,0.0,0.0,0.0,1.0
shock,one_shot_off,open,q_neg,post_31_plus,50,0.0,0.0,0.0,0.0,0.0,0.0,1.0
shock,one_shot_off,open,q_neg,post_all,50,0.0,0.0,0.0,0.0,0.0,0.0,1.0
treat,full,covered,h_opp,post_1_3,50,0.27377181917344123,0.27921243874670365,0.005440619573262418,0.005206450990987019,0.005661282065029902,1.0,4.999750012499375e-05
treat,full,covered,h_opp,post_4_10,50,0.27377181917344123,0.2810599594567145,0.0072881402832733165,0.0070235118976573465,0.0075432804031629695,1.0,4.999750012499375e-05
treat,full,covered,h_opp,post_11_30,50,0.27377181917344123,0.2817795675994248,0.008007748425983556,0.00778639558022165,0.008234699415141041,1.0,4.999750012499375e-05
treat,full,covered,h_opp,post_31_plus,50,0.27377181917344123,0.28169748760500884,0.00792566843156757,0.007738975909762616,0.008119874248002439,1.0,4.999750012499375e-05
treat,full,covered,h_opp,post_all,50,0.27377181917344123,0.28156230822190503,0.00779048904846378,0.007592795817140481,0.007985619967100397,1.0,4.999750012499375e-05
treat,full,covered,q_pos,post_1_3,50,0.0,1.4997090076705042,1.4997090076705042,1.4929782508840745,1.5064182955301908,1.0,4.999750012499375e-05
treat,full,covered,q_pos,post_4_10,50,0.0,0.43742810253506825,0.43742810253506825,0.4319698178027564,0.443103802747678,1.0,4.999750012499375e-05
treat,full,covered,q_pos,post_11_30,50,0.0,0.02507080365128839,0.02507080365128839,0.024473804339104968,0.025683572305984923,1.0,4.999750012499375e-05
treat,full,covered,q_pos,post_31_plus,50,0.0,4.523145306424218e-05,4.523145306424218e-05,4.339370672042286e-05,4.716512035112224e-05,1.0,4.999750012499375e-05
