example_type,run_id,seed,trial,committed_path,raw_idphi,z_idphi,pause_ticks,reorientation_count,vte_binary,pose_source
clean_non_vte,balanced_full_balanced_conflict_full_all_steps,45,41,covered,1.5707963267948966,-0.4541141205038517,3,0,0,synthetic_from_stage3_steps
clean_non_vte,balanced_full_balanced_conflict_full_all_steps,45,41,covered,1.5707963267948966,-0.4541141205038517,3,0,0,synthetic_from_stage3_steps
clean_non_vte,balanced_full_balanced_conflict_full_all_steps,45,41,covered,1.5707963267948966,-0.4541141205038517,3,0,0,synthetic_from_stage3_steps
clean_non_vte,balanced_full_balanced_conflict_full_all_steps,45,41,covered,1.5707963267948966,-0.4541141205038517,3,0,0,synthetic_from_stage3_steps
clean_non_vte,balanced_full_balanced_conflict_full_all_steps,45,41,covered,1.5707963267948966,-0.4541141205038517,3,0,0,synthetic_from_stage3_steps
clean_non_vte,balanced_full_balanced_conflict_full_all_steps,45,50,covered,1.5707963267948966,-0.4541141205038517,3,0,0,synthetic_from_stage3_steps
clean_non_vte,balanced_full_balanced_conflict_full_all_steps,45,50,covered,1.5707963267948966,-0.4541141205038517,3,0,0,synthetic_from_stage3_steps
clean_non_vte,balanced_full_balanced_conflict_full_all_steps,45,50,covered,1.5707963267948966,-0.4541141205038517,3,0,0,synthetic_from_stage3_steps
clean_non_vte,balanced_full_balanced_conflict_full_all_steps,45,50,covered,1.5707963267948966,-0.4541141205038517,3,0,0,synthetic_from_stage3_steps
clean_non_vte,balanced_full_balanced_conflict_full_all_steps,45,50,covered,1.5707963267948966,-0.4541141205038517,3,0,0,synthetic_from_stage3_steps
clean_non_vte,balanced_full_balanced_conflict_full_all_steps,45,50,covered,1.5707963267948966,-0.4541141205038517,3,0,0,synthetic_from_stage3_steps
clean_non_vte,balanced_full_balanced_conflict_full_all_steps,45,53,covered,1.5707963267948966,-0.4541141205038517,3,0,0,synthetic_from_stage3_steps
clean_non_vte,balanced_full_balanced_conflict_full_all_steps,45,53,covered,1.5707963267948966,-0.4541141205038517,3,0,0,synthetic_from_stage3_steps
clean_non_vte,balanced_full_balanced_conflict_full_all_steps,45,53,covered,1.5707963267948966,-0.4541141205038517,3,0,0,synthetic_from_stage3_steps
clean_non_vte,balanced_full_balanced_conflict_full_all_steps,45,53,covered,1.5707963267948966,-0.4541141205038517,3,0,0,synthetic_from_stage3_steps
clean_non_vte,balanced_full_balanced_conflict_full_all_steps,45,53,covered,1.5707963267948966,-0.4541141205038517,3,0,0,synthetic_from_stage3_steps
clean_non_vte,balanced_full_balanced_conflict_full_all_steps,45,53,covered,1.5707963267948966,-0.4541141205038517,3,0,0,synthetic_from_stage3_steps
top_vte,balanced_full_balanced_conflict_full_all_steps,42,13,open,6.283185307179586,1.2810769277841825,6,3,1,synthetic_from_stage3_steps
top_vte,balanced_full_balanced_conflict_full_all_steps,42,13,open,6.283185307179586,1.2810769277841825,6,3,1,synthetic_from_stage3_steps
top_vte,balanced_full_balanced_conflict_full_all_steps,42,13,open,6.283185307179586,1.2810769277841825,6,3,1,synthetic_from_stage3_steps
top_vte,balanced_full_balanced_conflict_full_all_steps,42,13,open,6.283185307179586,1.2810769277841825,6,3,1,synthetic_from_stage3_steps
top_vte,balanced_full_balanced_conflict_full_all_steps,42,13,open,6.283185307179586,1.2810769277841825,6,3,1,synthetic_from_stage3_steps
top_vte,balanced_full_balanced_conflict_full_all_steps,42,13,open,6.283185307179586,1.2810769277841825,6,3,1,synthetic_from_stage3_steps
top_vte,balanced_full_balanced_conflict_full_all_steps,42,13,open,6.283185307179586,1.2810769277841825,6,3,1,synthetic_from_stage3_steps
top_vte,balanced_full_balanced_conflict_full_all_steps,42,13,open,6.283185307179586,1.2810769277841825,6,3,1,synthetic_from_stage3_steps
top_vte,balanced_full_balanced_conflict_full_all_steps,42,13,open,6.283185307179586,1.2810769277841825,6,3,1,synthetic_from_stage3_steps
top_vte,balanced_full_balanced_conflict_full_all_steps,42,41,open,6.283185307179586,1.2810769277841825,6,3,1,synthetic_from_stage3_steps
top_vte,balanced_full_balanced_conflict_full_all_steps,42,41,open,6.283185307179586,1.2810769277841825,6,3,1,synthetic_from_stage3_steps
top_vte,balanced_full_balanced_conflict_full_all_steps,42,41,open,6.283185307179586,1.2810769277841825,6,3,1,synthetic_from_stage3_steps
top_vte,balanced_full_balanced_conflict_full_all_steps,42,41,open,6.283185307179586,1.2810769277841825,6,3,1,synthetic_from_stage3_steps
top_vte,balanced_full_balanced_conflict_full_all_steps,42,41,open,6.283185307179586,1.2810769277841825,6,3,1,synthetic_from_stage3_steps
top_vte,balanced_full_balanced_conflict_full_all_steps,42,41,open,6.283185307179586,1.2810769277841825,6,3,1,synthetic_from_stage3_steps
top_vte,balanced_full_balanced_conflict_full_all_steps,42,41,open,6.283185307179586,1.2810769277841825,6,3,1,synthetic_from_stage3_steps
top_vte,balanced_full_balanced_conflict_full_all_steps,42,41,open,6.283185307179586,1.2810769277841825,6,3,1,synthetic_from_stage3_steps
top_vte,balanced_full_balanced_conflict_full_all_steps,42,41,open,6.283185307179586,1.2810769277841825,6,3,1,synthetic_from_stage3_steps
top_vte,balanced_full_balanced_conflict_full_all_steps,42,98,open,6.283185307179586,1.2810769277841825,6,3,1,synthetic_from_stage3_steps
top_vte,balanced_full_balanced_conflict_full_all_steps,42,98,open,6.283185307179586,1.2810769277841825,6,3,1,synthetic_from_stage3_steps
top_vte,balanced_full_balanced_conflict_full_all_steps,42,98,open,6.283185307179586,1.2810769277841825,6,3,1,synthetic_from_stage3_steps
top_vte,balanced_full_balanced_conflict_full_all_steps,42,98,open,6.283185307179586,1.2810769277841825,6,3,1,synthetic_from_stage3_steps
top_vte,balanced_full_balanced_conflict_full_all_steps,42,98,open,6.283185307179586,1.2810769277841825,6,3,1,synthetic_from_stage3_steps
top_vte,balanced_full_balanced_conflict_full_all_steps,42,98,open,6.283185307179586,1.2810769277841825,6,3,1,synthetic_from_stage3_steps
top_vte,balanced_full_balanced_conflict_full_all_steps,42,98,open,6.283185307179586,1.2810769277841825,6,3,1,synthetic_from_stage3_steps
top_vte,balanced_full_balanced_conflict_full_all_steps,42,98,open,6.283185307179586,1.2810769277841825,6,3,1,synthetic_from_stage3_steps
top_vte,balanced_full_balanced_conflict_full_all_steps,42,98,open,6.283185307179586,1.2810769277841825,6,3,1,synthetic_from_stage3_steps
top_vte,balanced_full_balanced_conflict_full_all_steps,43,25,open,6.283185307179586,1.4166524375602296,6,3,1,synthetic_from_stage3_steps
top_vte,balanced_full_balanced_conflict_full_all_steps,43,25,open,6.283185307179586,1.4166524375602296,6,3,1,synthetic_from_stage3_steps
top_vte,balanced_full_balanced_conflict_full_all_steps,43,25,open,6.283185307179586,1.4166524375602296,6,3,1,synthetic_from_stage3_steps
top_vte,balanced_full_balanced_conflict_full_all_steps,43,25,open,6.283185307179586,1.4166524375602296,6,3,1,synthetic_from_stage3_steps
top_vte,balanced_full_balanced_conflict_full_all_steps,43,25,open,6.283185307179586,1.4166524375602296,6,3,1,synthetic_from_stage3_steps
top_vte,balanced_full_balanced_conflict_full_all_steps,43,25,open,6.283185307179586,1.4166524375602296,6,3,1,synthetic_from_stage3_steps
top_vte,balanced_full_balanced_conflict_full_all_steps,43,25,open,6.283185307179586,1.4166524375602296,6,3,1,synthetic_from_stage3_steps
top_vte,balanced_full_balanced_conflict_full_all_steps,43,25,open,6.283185307179586,1.4166524375602296,6,3,1,synthetic_from_stage3_steps
top_vte,balanced_full_balanced_conflict_full_all_steps,43,25,open,6.283185307179586,1.4166524375602296,6,3,1,synthetic_from_stage3_steps
